#name Íslenska
# Deckboy interface catalogue.
#
# english<TAB>translation. A line left out, or left empty, falls through to the
# English -- so an unfinished catalogue is a partly translated app rather than
# one with holes in it.
#
# Broadcast vocabulary is deliberately left in English where the trade leaves
# it there: TAKE, PROGRAM, NDI, SRT, OSC.
NEW	NÝTT
OPEN	OPNA
SAVE	VISTA
SAVE AS	VISTA SEM
BUNDLE	
IMPORT	FLYTJA INN
SOURCE	UPPSPRETTA
PATTERN	PRÓFMYND
SETTINGS	STILLINGAR
TAKE	
STOP	STOPP
REBOOT	ENDURRÆSA
BLACKOUT	SVART
CLEAR	HREINSA
RECORD	TAKA UPP
PLAYLIST	SPILUNARLISTI
TIMELINE	TÍMALÍNA
MEDIA	MIÐLAR
TRANSPORT	FLUTNINGUR
OUTPUT	ÚTTAK
PROGRAM	
WARP	
LIVE	Í BEINNI
DECODE	
STREAM	
System	Kerfi
Audio	Hljóð
Network	Net
Video Outputs	Myndúttök
About	Um
Encoder	Kóðari
Screen	Skjár
Geometry	Rúmfræði
Devices	Tæki
Streaming	Streymi
APPEARANCE	ÚTLIT
REMOTE CONTROL	FJARSTÝRING
INTEGRATION ADAPTERS	
DISCOVERY / NOTES	
DISPLAY & RASTER	
CONNECTED DISPLAYS	TENGDIR SKJÁIR
EDGE FEATHERING	
MATTE & OVERLAY	
AREA OF INTEREST	
DEFAULT TRANSITION	
NMC IN & OUT	
OSC QUERY / FEEDBACK	
CUE INSPECTOR	
SELECTED CUE	
PLAYBACK	SPILUN
COPY	AFRITA
PASTE	LÍMA
RESET	ENDURSTILLA
Theme	Þema
Language	Tungumál
Resolution	Upplausn
Orientation	Stefna
Toggle Fullscreen	Heilskjár
IDENTIFY	
REGION SIZE	
POSITION	
CENTRE	MIÐJA
FULL	FULLT
duration	lengd
transition	umskipti
fade in	
fade out	
ON	Á
OFF	AF
Stopped	Stöðvað
Playing	Spilar
Paused	Í bið
