#name Kanienʼkéha
# Deckboy interface catalogue.
#
# english<TAB>translation. A line left out, or left empty, falls through to the
# English -- so an unfinished catalogue is a partly translated app rather than
# one with holes in it.
#
# Broadcast vocabulary is deliberately left in English where the trade leaves
# it there: TAKE, PROGRAM, NDI, SRT, OSC.
NEW	ASE
OPEN	RATIRÒNTAHKWE
SAVE	TESATKÁHTHOS
SAVE AS	
BUNDLE	
IMPORT	TESAHTENTÍ
SOURCE	TSI NIIÓHT
PATTERN	
SETTINGS	TSI NIYOHTÓNHA
TAKE	
STOP	SATÁHSAWEN
REBOOT	
BLACKOUT	AHSONTHÉNHNE
CLEAR	TEKAHÍ
RECORD	KAHIÁTON
PLAYLIST	KAHIATONHSERÁ
TIMELINE	
MEDIA	KARÒNTA
TRANSPORT	
OUTPUT	IÓTHARE
PROGRAM	
WARP	
LIVE	IONKWÉ
DECODE	
STREAM	
System	Tsi niiohtónha
Audio	Kawennáhkwa
Network	Tekaniateráhkwa
Video Outputs	
About	Né tsi
Encoder	
Screen	Kanáktote
Geometry	
Devices	Kaienthóhsera
Streaming	
APPEARANCE	TSI NIIÓHT
REMOTE CONTROL	
INTEGRATION ADAPTERS	
DISCOVERY / NOTES	
DISPLAY & RASTER	
CONNECTED DISPLAYS	
EDGE FEATHERING	
MATTE & OVERLAY	
AREA OF INTEREST	
DEFAULT TRANSITION	
NMC IN & OUT	
OSC QUERY / FEEDBACK	
CUE INSPECTOR	
SELECTED CUE	
PLAYBACK	TESAHÍ
COPY	TESAHIÁTON
PASTE	
RESET	ÁSE TESAHÍ
Theme	Tsi niiót
Language	Owenna
Resolution	
Orientation	
Toggle Fullscreen	
IDENTIFY	
REGION SIZE	
POSITION	
CENTRE	AHSÓTHA
FULL	ÁKTA
duration	
transition	
fade in	
fade out	
ON	IÓHTON
OFF	IÁH
Stopped	WAHÁTHSAWEN
Playing	IONTÓRI
Paused	
