#name Scots
# Deckboy interface catalogue.
#
# english<TAB>translation. A line left out, or left empty, falls through to the
# English -- so an unfinished catalogue is a partly translated app rather than
# one with holes in it.
#
# Broadcast vocabulary is deliberately left in English where the trade leaves
# it there: TAKE, PROGRAM, NDI, SRT, OSC.
NEW	NEW
OPEN	APEN
SAVE	HAIN
SAVE AS	HAIN AS
BUNDLE	
IMPORT	BRING IN
SOURCE	SOURCE
PATTERN	TEST CAIRD
SETTINGS	SETTINS
TAKE	
STOP	HAUD
REBOOT	STERT AGIN
BLACKOUT	MIRK
CLEAR	DICHT
RECORD	RECORD
PLAYLIST	PLAYLIST
TIMELINE	TIMELINE
MEDIA	MEDIA
TRANSPORT	TRANSPORT
OUTPUT	OOTPIT
PROGRAM	
WARP	
LIVE	LIVE
DECODE	
STREAM	
System	System
Audio	Soond
Network	Network
Video Outputs	Video ootpits
About	Anent
Encoder	Encoder
Screen	Screen
Geometry	Geometry
Devices	Devices
Streaming	Streamin
APPEARANCE	LUIK
REMOTE CONTROL	HAUN-AFF CONTROL
INTEGRATION ADAPTERS	
DISCOVERY / NOTES	
DISPLAY & RASTER	
CONNECTED DISPLAYS	JYNED SCREENS
EDGE FEATHERING	
MATTE & OVERLAY	
AREA OF INTEREST	
DEFAULT TRANSITION	
NMC IN & OUT	
OSC QUERY / FEEDBACK	
CUE INSPECTOR	
SELECTED CUE	
PLAYBACK	PLAYBACK
COPY	COPY
PASTE	STICK IN
RESET	SET BACK
Theme	Theme
Language	Leid
Resolution	Resolution
Orientation	Airt
Toggle Fullscreen	Hale screen
IDENTIFY	
REGION SIZE	
POSITION	
CENTRE	MIDDEN
FULL	HALE
duration	lenth
transition	chynge
fade in	
fade out	
ON	ON
OFF	AFF
Stopped	Haudit
Playing	Playin
Paused	Waitin
